full_name,age,gender,party,constituency,election_year,result,votes_received,total_votes,vote_percentage,winning_margin,education,profession,total_assets,total_liabilities,criminal_cases_count,affidavit_link,source_url,scraped_timestamp
A.SOUNDARAPANDIAN,56,Male,DMK,LALGUDI (TIRUCHIRAPPALLI),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,12,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1406,2026-02-22 12:52:17.381484
C MAHENDRAN,49,Male,AIADMK,MADATHUKULAM (TIRUPPUR),tamilnadu2021,Won,0,0,0.0,0,,Business,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=75,2026-02-22 12:52:21.316940
SUDHARSANAM. S,62,Male,DMK,MADHAVARAM (THIRUVALLUR),tamilnadu2021,Won,0,0,0.0,0,,Housewife & Agriculturist,0,0,22,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1427,2026-02-22 12:52:25.225754
GANAPATHY.K,61,Male,DMK,MADHURAVOYAL (THIRUVALLUR),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=533,2026-02-22 12:52:28.456999
PALANIVEL THIAGA RAJAN,55,Male,DMK,MADURAI CENTRAL (MADURAI),tamilnadu2021,Won,0,0,0.0,0,,Home wife,0,0,4,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1436,2026-02-22 12:52:32.039892
MOORTHY P,62,Male,DMK,MADURAI EAST (MADURAI),tamilnadu2021,Won,0,0,0.0,0,,"Advocate, Agriculture",0,0,3,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1443,2026-02-22 12:52:35.651563
THALAPATHI G,65,Male,DMK,MADURAI NORTH (MADURAI),tamilnadu2021,Won,0,0,0.0,0,,Engineering Contractor Work,0,0,12,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=527,2026-02-22 12:52:39.578740
BOOMINATHAN.M,61,Male,DMK,MADURAI SOUTH (MADURAI),tamilnadu2021,Won,0,0,0.0,0,,Former and Real Estate,0,0,2,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1459,2026-02-22 12:52:43.161561
RAJU. K,68,Male,AIADMK,MADURAI WEST (MADURAI),tamilnadu2021,Won,0,0,0.0,0,,AGRICULTURE,0,0,1,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=110,2026-02-22 12:52:46.650234
MARAGATHAM. K,38,Male,AIADMK,MADURANTAKAM (SC) (CHENGALPATTU),tamilnadu2021,Won,0,0,0.0,0,,Business / OM Muruga Traders,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=530,2026-02-22 12:52:49.966470
SIVAKUMAR C,47,Male,Pattali Makkal Katchi,MAILAM (VILLUPPURAM),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=537,2026-02-22 12:52:53.238247
S.KATHIRAVAN,46,Male,DMK,MANACHANALLUR (TIRUCHIRAPPALLI),tamilnadu2021,Won,0,0,0.0,0,,Business,0,0,99,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1521,2026-02-22 12:53:00.920843
TAMILARASI A.,44,Male,DMK,MANAMADURAI (SC) (SIVAGANGA),tamilnadu2021,Won,0,0,0.0,0,,Business,0,0,8,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1540,2026-02-22 12:53:04.143170
ABDUL SAMAD P,52,Male,DMK,MANAPPARAI (TIRUCHIRAPPALLI),tamilnadu2021,Won,0,0,0.0,0,,House wife,0,0,1,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1861,2026-02-22 12:53:07.352234
RAJAA T R B,44,Male,DMK,MANNARGUDI (THIRUVARUR),tamilnadu2021,Won,0,0,0.0,0,,Mining & Service Business,0,0,2,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=115,2026-02-22 12:53:10.882534
S RAJAKUMAR,52,Male,INC,MAYILADUTHURAI (NAGAPATTINAM),tamilnadu2021,Won,0,0,0.0,0,,Buisness,0,0,1,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1862,2026-02-22 12:53:14.187145
PERIYAPULLAN P Alias SELVAM,49,Male,AIADMK,MELUR (MADURAI),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=547,2026-02-22 12:53:17.734915
SELVARAJ A K,62,Male,AIADMK,METTUPALAYAM (COIMBATORE),tamilnadu2021,Won,0,0,0.0,0,,Umarried,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=118,2026-02-22 12:53:20.981012
